Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
YaleCourses,1630000,0.34329847,0.368,0.0827419832348823,2157
Cinephile Explained,25900,0.34259236,0.354,0.1085181012749672,209
The Trench Family,11900000,0.34170437,0.42,0.1119851395487785,2901
Simplilearn,5620000,0.338821,0.219,0.0310338400304317,10083
Docentes DigitalesTV,13900,0.33612242,0.285,0.0890955254435539,2350
MorgueOfficial,689000,0.33550355,0.439,0.1061574667692184,1241
Rebecca Zung,524000,0.33519053,0.364,0.1156103163957595,2390
Mentality Madness,137000,0.33293524,0.362,0.0740211606025695,341
BUILD Series,444000,0.33157927,0.308,0.0943829715251922,14423
Yasir Khan Shorts,392000,0.32655448,0.275,0.0486251302063465,2082
Yahoo News,191000,0.31884682,0.315,0.1073936969041824,3581
TEDx Talks,43800000,0.31723338,0.355,0.0785624533891677,246451
Washington Post,2810000,0.31327182,0.446,0.0718516185879707,23860
ByteByteGo,1290000,0.3125159,0.279,0.0399524047970771,157
FOX 26 Houston,702000,0.3116774,0.248,0.0423693247139453,31965
The Financial Controller,304000,0.30929706,0.195,0.0196440946310758,246
tutor2u,1630000,0.309035,0.343,0.083400622010231,6013
Jacob Clifford,1020000,0.30345094,0.225,0.0415874905884265,541
ACM SIGCHI,26000,0.30055654,0.319,0.0706743597984314,18023
History Unleashed,144000,0.2990537,0.25,0.0696222409605979,259
Two Teachers,41000,0.29834148,0.274,0.0600372962653636,469
Institute for Justice,494000,0.2976794,0.395,0.0814934745430946,654
MasterClass,1600000,0.2930753,0.209,0.0514529533684253,709
Celeb Buss Central,882000,0.2920704,0.29,0.0954196751117706,1764
DRM News,540000,0.28743994,0.327,0.0781617239117622,37531
Sherrynews,28400,0.2874066,0.249,0.092132419347763,588
DonnyGoogle Tv ,56400,0.28650928,0.304,0.1137193813920021,573
Easy Forex Pips,254000,0.2852251,0.235,0.0542423389852047,4636
CBC News,4430000,0.2838114,0.334,0.0712636485695838,41220
Mirkojax,33600,0.28373668,0.087,0.0014738050522282,4669
Doctorly,3460000,0.2813372,0.196,0.0372248589992523,446
Lakepointe Church,455000,0.27124113,0.357,0.0924696177244186,1024
ReviewEcon,36800,0.27019238,0.242,0.0718416571617126,163
EnhanceTuition,27500,0.26548085,0.3,0.0613059364259243,306
Department of Economics,17900,0.26383653,0.237,0.0497114770114421,319
Parliamentarian,58400,0.2635911,0.353,0.0774819776415824,1029
